2.748146959126519517e-01,8.536602357521052564e-01,5.899212240831691600e-01,2.961713126252317752e-01,6.161061603792532537e-01,1.912196060031150502e-01,4.191022093352797517e-01,7.685912480964235405e-01,8.179556892411861124e-01,5.553769700857780212e-02,5.231111565938509900e-01,6.331456007011354581e-01
5.249041926349496956e-01,7.208746798559864111e-01,6.072535285942174399e-01,4.027805156073963611e-01,1.123201361550729693e-01,9.721354914263741209e-01,4.644713291765123486e-02,5.538961226496641466e-02,4.556920172041345474e-02,9.002049892909174122e-01,7.863412012688391073e-01,6.832980470922161986e-01
2.256321444951028266e-01,5.956306747216878472e-01,3.887488467343548360e-01,7.730632745760298574e-01,5.485578980318901454e-01,6.331642908709480544e-01,1.049091125579195705e-01,5.644943995597186959e-01,6.680828140996808440e-02,9.576240668050601812e-01,5.598551331727102953e-01,1.779877188276166589e-01
7.231644143366697808e-01,6.571468508867017722e-01,8.551695369710669015e-01,2.950550013487923673e-01,5.543058611056485008e-01,3.562608911759220787e-01,5.512594038210080205e-01,2.438019327318518004e-01,7.945582122948905424e-01,6.204761526559722240e-01,1.294401188973082206e-02,7.413616348286700131e-02
6.554809150636375925e-01,6.361573254068142447e-02,7.014168769553091876e-01,1.819111533556828642e-01,9.901521767088261594e-02,4.909665244422906083e-01,5.784855630340326460e-01,6.994912812572376959e-01,5.290803273109870863e-01,3.883560385584849950e-01,8.593657489425302609e-01,7.290681167950503472e-01
3.909700241741861371e-01,4.413938611733480011e-01,1.063616459898830691e-03,7.700421033724904607e-01,4.774309175624857904e-02,2.408976243172670229e-01,7.674921511234515936e-01,2.314893778832886051e-01,2.867928420994226846e-01,7.512742263424917466e-01,6.515581464262865108e-01,4.607337928171607588e-01
6.344859908792156444e-01,7.046682317781638449e-01,7.948907727215061003e-01,7.864750979066925662e-02,3.070511074965425191e-01,2.069366531340625093e-01,5.713271224530799275e-01,4.135063000160036362e-01,7.261105507552308991e-01,1.045453811562044866e-01,9.009695856203927544e-01,5.618252774447696218e-02
5.137020036111613619e-01,6.572591047785805163e-01,2.474395680432117661e-02,8.000645853380751182e-01,9.831890854005328473e-01,8.964612625572784266e-01,3.470786083885359918e-01,6.514675296550859196e-01,2.883205294484196823e-01,7.815801483278396189e-01,2.955960504496476515e-01,1.017673893268210561e-01
3.206363824409556029e-01,7.955773216000273651e-01,5.333349428204595677e-01,6.988097750242309170e-01,6.586229571675310535e-01,1.193085441690532322e-01,5.774328550211079714e-01,4.746699502808170434e-01,6.310456733502209925e-01,7.923691774391162790e-01,4.181172157549201129e-01,5.796134617597004102e-02
6.674380036483614775e-01,9.109844538390623470e-01,4.507130486673618375e-01,8.768053647737452660e-01,7.987532688549277005e-01,9.130874432446884903e-01,1.387516494515659282e-01,4.897433758949897298e-01,7.290069491467701113e-01,4.627133432394165968e-01,2.885158337430491216e-01,2.603119419257342582e-01
6.659327518470469220e-01,7.150143067902114957e-02,9.792521333032906394e-01,9.563300600430681975e-01,4.101799671096301170e-01,9.085495889632841937e-01,7.492441718004200224e-01,3.555430590108275002e-01,4.906933496205939660e-01,2.702807889546922082e-01,6.696866146694484545e-01,5.340448524235499317e-01
7.592735424981903458e-01,9.056944583994177567e-01,1.112387515978955355e-01,3.268974139640946630e-01,1.398120399030363670e-01,8.077965858498097340e-01,7.155522619976174559e-01,1.120087609750375357e-01,1.209585753160477006e-01,3.327237254295445368e-01,8.845144888950055018e-01,2.368905149547144706e-01
